of|IO|The color of the car is red.|(генитив)|Цвет автомобиля красный.
compound|NN1|The compound is secure.|комплекс|Комплекс защищен.
upstairs|RL|She went upstairs to her room.|вверх|Она пошла вверх к своей комнате.
tune|VV0|He tuned the guitar.|настраивать|Он настроил гитару.
jeans|NN2|She bought two pairs of jeans.|джинсы|Она купила две пары джинсов.
ranch|NN1|They own a large ranch in Texas.|ранчо|Они владеют большим ранчо в Техасе.
pitcher|NN1|The pitcher threw a fastball.|подающий|Подающий бросил фастбол.
behavioral|JJ|They studied behavioral patterns in animals.|поведенческий|Они изучали поведенческие паттерны у животных.
advertisement|NN1|The advertisement was catchy.|реклама|Реклама была запоминающейся.
blow|NN1|He dealt a blow to his opponent.|удар|Он нанес удар своему противнику.
bitter|JJ|The medicine tasted bitter.|горький|Лекарство было горьким на вкус.
treasury|NN1|The treasury was guarded.|казна|Казна была под охраной.
walking|NN1|Walking is great exercise.|ходьба|Ходьба — отличное упражнение.
