|part_of_speech|word_de|word_forms_de|sentence_de|word_meanings_en|word_en|sentence_en
283|adj|nächste|nächste, nächster, nächstes|Das nächste Treffen ist im März.|next|next|The next meeting is in March.
284|verb|erklären|erklären, erklärt, erklärte, hat erklärt|Der Lehrer erklärt die Aufgabe.|to explain|to explain|The teacher explains the task.
285|adj|klar||Die klare Anweisung verhinderte Fehler.|clear|clear|The clear instruction prevented mistakes.
286|der|der Doktor|die Doktoren|Der Doktor verschrieb ein Medikament.|doctor|doctor|The doctor prescribed a medication.
287|das|das Paar|die Paare|Das Paar ging zusammen durch den Park.|pair, couple|couple|The couple walked together through the park.
288|pron|ein paar||Ein paar Leute haben abgesagt.|a few|a few|A few people canceled.
289|adj|recht||Die rechte Wahl brachte neue Chancen.|all right|all right|The all right choice brought new opportunities.
290|das|das Recht|die Rechte|Das Recht schützt die Schwachen.|right, law|law|The law protects the weak.
291|part|recht||Das ist recht kompliziert, aber machbar.|rather, quite|rather|That is rather complicated, but doable.
292|prep|wegen||Wegen des Regens blieb er zu Hause.|because of|because of|Because of the rain, he stayed home.
293|pron|dir||Ich habe dir das Buch gegeben.|you|you|I gave you the book.
294|das|das Wasser|die Wasser|Das Wasser kocht auf dem Herd.|water|water|The water is boiling on the stove.
295|verb|bestehen|bestehen, besteht, bestand, hat bestanden|Er hat die schwierige Prüfung bestanden.|to exist, insist, pass (an exam)|pass (an exam)|He passed the difficult exam.
296|verb|versuchen|versuchen, versucht, versuchte, hat versucht|Er versucht, das Problem zu lösen.|to try, attempt|to try|He is trying to solve the problem.
297|der|der Punkt|die Punkte|Der Punkt ist klar formuliert.|dot, point, period|point|The point is clearly articulated.
298|der|der Grund|die Gründe|Der Grund bleibt ihm ein Rätsel.|reason, basis|reason|The reason remains a mystery to him.
299|der|der Kopf|die Köpfe|Er hielt den Kopf gesenkt und schwieg.|head|head|He kept his head down and remained silent.
300|verb|beginnen|beginnen, beginnt, begann, hat begonnen|Er beginnt jeden Tag mit einem Lächeln.|to begin|to begin|He begins every day with a smile.
301|verb|laufen|laufen, läuft, lief, ist gelaufen|Er läuft jeden Morgen fünf Kilometer.|to run|to run|He runs five kilometers every morning.
302|das|das Bild|die Bilder|Das Bild hängt schief an der Wand.|picture|picture|The picture hangs crooked on the wall.
303|adj|verschieden||Er probierte verschiedene Methoden aus.|different, diverse|different|He tried different methods.
304|der|der Name|die Namen|Sein Name steht auf der Liste.|name|name|His name is on the list.
305|die|die Aufgabe|die Aufgaben|Die Aufgabe ist ziemlich schwer.|task, assignment, job|task|The task is quite difficult.
306|adj|schwer||Der Koffer war schwer zu tragen.|difficult, heavy|heavy|The suitcase was heavy to carry.
307|verb|entsprechen|entsprechen, entspricht, entsprach, hat entsprochen|Das Ergebnis entspricht den Erwartungen.|to correspond|to correspond|The result corresponds to the expectations.
308|verb|treffen|treffen, trifft, traf, hat getroffen|Wir treffen uns heute Abend im Café.|to meet|to meet|We are meeting this evening at the café.
309|die|die Art|die Arten|Welche Art von Musik magst du?|type, kind|kind|What kind of music do you like?
310|adv|wohl||Wohl vorbereitet, ging er zur Prüfung.|well|well|Well prepared, he went to the exam.
311|part|wohl||Das wird wohl nicht leicht werden.|probably|probably|That probably won't be easy.
312|die|die Geschichte|die Geschichten|Die Geschichte ist spannend erzählt.|history, story|story|The story is told excitingly.
313|verb|erzählen|erzählen, erzählt, erzählte, hat erzählt|Sie erzählt ihm eine Geschichte.|to tell|to tell|She tells him a story.
314|verb|entstehen|entstehen, entsteht, entstand, ist entstanden|Neue Ideen entstehen oft spontan.|to originate, develop|develop|New ideas often develop spontaneously.
315|adj|sicher||Das Gebäude ist absolut sicher.|safe, secure, certain|secure|The building is absolutely secure.
316|prep|neben||Das Auto steht neben dem Haus.|next to, beside|next to|The car is parked next to the house.
317|adv|allein|allein, alleine|Er lebt allein in einer Wohnung.|alone|alone|He lives alone in an apartment.
318|die|die Abbildung (Abb.)|die Abbildungen|Die Abbildung zeigt das Ergebnis.|illustration|illustration|The illustration shows the result.
319|prep|hinter||Der Garten liegt hinter dem Haus.|behind, in back of|behind|The garden is behind the house.
320|adv|besonders||Er hat sich besonders viel Mühe gegeben.|particularly|particularly|He put in particularly a lot of effort.
321|verb|tragen|tragen, trägt, trug, hat getragen|Er trägt die schwere Tasche zum Auto.|to carry, wear|to carry|He carries the heavy bag to the car.
322|adv|kaum||Kaum jemand war noch anwesend.|hardly|hardly|Hardly anyone was still present.
323|der|der Freund|die Freunde|Mein Freund hilft mir bei allem.|friend|friend|My friend helps me with everything.
324|num|fünf||Fünf Äpfel liegen auf dem Tisch.|five|five|Five apples are on the table.
325|verb|scheinen|scheinen, scheint, schien, hat geschienen|Die Sonne scheint hell durch die Wolken.|to shine, seem, appear|to shine|The sun shines brightly through the clouds.
326|die|die Stunde|die Stunden|Die Stunde verging viel zu schnell.|hour|hour|The hour passed far too quickly.
327|verb|aussehen|aussehen, sieht aus, sah aus, hat ausgesehen|Sie sieht heute besonders müde aus.|to appear, look|to look|She looks particularly tired today.
328|adv|gern|gern, gerne|Ich lese sehr gern gute Bücher.|(with a verb) love to|love to|I love to read good books.
329|adv|überhaupt||Ich verstehe überhaupt nichts.|at all, generally|at all|I don't understand anything at all.
330|adj|bestimmt||Er hat ein bestimmtes Talent für Musik.|special, certain|certain|He has a certain talent for music.
331|conj|sowie||Er bringt Obst sowie Gemüse mit.|as well as, as soon as, plus|as well as|He is bringing fruit as well as vegetables.
332|der|der Professor|die Professoren|Der Professor hielt eine Vorlesung.|professor|professor|The professor gave a lecture.
333|pron|darüber|darüber, drüber|Er sprach nicht gerne darüber.|above it, about it|about it|He didn't like to talk about it.
334|pron|deren||Das ist das Haus, deren Dach kaputt ist.|whose|whose|That is the house whose roof is broken.
335|verb|schaffen|schaffen, schafft, schuf, hat geschaffen|Er schafft Platz für das neue Projekt.|to manage, create|create|He is creating space for the new project.
336|pron|damals||Damals war alles einfacher gewesen.|then|then|Back then, everything was simpler.
337|verb|erhalten|erhalten, erhält, erhielt, hat erhalten|Ich habe deinen Brief erhalten.|to receive|to receive|I received your letter.
338|verb|lernen|lernen, lernt, lernte, hat gelernt|Sie hat schnell in der Schule gelernt.|to learn|to learn|She learned quickly at school.
339|adj|frei||In diesem Land sind die Bürger frei.|free|free|In this country, citizens are free.
340|adj|wert||Das Auto ist nicht mehr viel wert.|worth|worth|The car is no longer worth much.
341|der|der Wert|die Werte|Der Wert des Hauses ist gestiegen.|value|value|The value of the house has increased.
342|conj|beziehungsweise|beziehungsweise, bzw.|Sie oder beziehungsweise er kommt.|or, respectively|or|She or respectively he is coming.
343|pron|daran|daran, dran|Wir arbeiten schon seit Stunden daran.|on it|on it|We have been working on it for hours.
344|verb|suchen|suchen, sucht, suchte, hat gesucht|Er suchte den Schlüssel überall.|to search, look for|to search|He searched for the key everywhere.
345|das|Europa||Europa ist kulturell vielfältig.|Europe|Europe|Europe is culturally diverse.
346|adj|gemeinsam||Wir haben ein gemeinsames Ziel.|common, mutual|common|We have a common goal.
347|adj|rund||Der Tisch hat eine runde Form.|round|round|The table has a round shape.
348|adv|rund||Rund 20 Minuten dauerte die Fahrt.|approximately|approximately|The ride lasted approximately 20 minutes.
349|die|die Zahl|die Zahlen|Die Zahl der Besucher stieg an.|number|number|The number of visitors increased.
350|das|das Thema|die Themaen|Das Thema weckt großes Interesse.|subject, topic, theme|topic|The topic arouses great interest.
351|verb|handeln|handeln, handelt, handelte, hat gehandelt|Er handelt oft mit seltenen Büchern.|to deal, trade|to deal|He often deals with rare books.
352|das|das Buch|die Bücher|Er hat das Buch in einem Rutsch gelesen.|book|book|He read the book in one go.
353|pron|bisschen|bisschen, bissel|Ich brauche ein bisschen Hilfe.|a little|a little|I need a little help.
354|adj|deutlich||Die Anweisungen waren deutlich.|clear|clear|The instructions were clear.
355|adv|anders||Es hätte anders laufen können.|different, differently|differently|It could have gone differently.
356|adj|politisch||Die politische Lage spitzt sich zu.|political|political|The political situation is getting worse.
357|verb|lesen|lesen, liest, las, hat gelesen|Ich lese jeden Abend ein Buch.|to read|to read|I read a book every evening.
358|der|der Blick|die Blicke|Der Blick aus dem Fenster war schön.|look, view, glance|view|The view from the window was beautiful.
359|die|die Form|die Formen|Die Form des Gebäudes ist sehr modern.|form, shape|shape|The shape of the building is very modern.
360|adj|einzeln||Jedes einzelne Problem fordert Zeit.|individual, single, separately|single|Every single problem requires time.
361|verb|erreichen|erreichen, erreicht, erreichte, hat erreicht|Wir müssen das Ziel erreichen.|to achieve, reach|reach|We must reach the goal.
362|verb|vergehen|vergehen, vergeht, verging, hat vergangen|Die Stunden vergehen heute sehr schnell.|to pass (time)|to pass (time)|The hours are passing very quickly today.
363|adj|leicht||Ein leichter Wind bewegte die Blätter.|light, easy|light|A light wind moved the leaves.
364|adv|je||Die Teilnehmer zahlen je 20 Euro.|ever, each|each|The participants pay 20 euros each.
365|conj|je||Je länger, desto schwieriger wird es.|the more|the more|The longer it takes, the more difficult it becomes.
366|verb|verlieren|verlieren, verliert, verlor, hat verloren|Er verliert oft seinen Schlüssel.|to lose|to lose|He often loses his key.
367|adj|beste|beste, bester, bestes|Er ist der beste Spieler im Team.|best|best|He is the best player on the team.
368|verb|bilden|bilden, bildet, bildete, hat gebildet|Sie bilden eine starke Gruppe.|to form, educate|to form|They form a strong group.
369|der|der Monat|die Monate|Der Monat Januar ist oft kalt.|month|month|The month of January is often cold.
370|die|die Lösung|die Lösungen|Die Lösung des Rätsels war einfach.|solution|solution|The solution to the puzzle was simple.
371|die|die Sache|die Sachen|Die Sache ist ziemlich kompliziert.|thing|thing|The thing is quite complicated.
372|adj|bekannt||Sie ist eine bekannte Sängerin.|well-known, famous|famous|She is a famous singer.
373|das|das Ziel|die Ziele|Das Ziel war endlich erreicht.|destination, goal|goal|The goal was finally achieved.
374|verb|steigen|steigen, steigt, stieg, ist gestiegen|Er stieg vorsichtig die Treppe hinauf.|to climb, increase|to climb|He climbed the stairs carefully.
375|adv|eher||Ich würde eher zu Hause bleiben.|sooner, earlier, more likely, rather|rather|I would rather stay at home.
376|verb|essen|essen, isst, aß, hat gegessen|Ich habe gestern zu viel gegessen.|to eat|to eat|I ate too much yesterday.
377|die|die Minute|die Minuten|Er kam nur fünf Minuten zu spät.|minute|minute|He was only five minutes late.
378|adv|nachts||Nachts ist es hier besonders still.|at night, nights|at night|It is especially quiet here at night.
379|die|die Nacht|die Nächte|Die Nacht war klar und voller Sterne.|night|night|The night was clear and full of stars.
380|der|der Platz|die Plätze|Der Platz im Park war voll von Menschen.|place, room, square|place|The place in the park was full of people.
381|adj|schlecht||Das Wetter war heute wirklich schlecht.|bad|bad|The weather was really bad today.
382|das|das Spiel|die Spiele|Das Spiel beginnt um acht Uhr.|game, match|game|The game begins at eight o'clock.
383|die|die Familie|die Familien|Die Familie traf sich zum Essen.|family|family|The family met for dinner.
384|pron|jemand||Jemand hat an der Tür geklopft.|someone, somebody|someone|Someone knocked on the door.
385|pron|dessen||Das ist der Mann, dessen Buch du liest.|whose|whose|That’s the man whose book you’re reading.
386|verb|fallen|fallen, fällt, fiel, ist gefallen|Das Blatt ist leise zu Boden gefallen.|to fall|to fall|The leaf quietly fell to the ground.
387|num|zehn||Zehn Leute warteten vor der Tür.|ten|ten|Ten people waited in front of the door.
388|der|der Preis|die Preise|Der Preis für das Haus ist zu hoch.|price, prize|price|The price for the house is too high.
389|adj|europäisch||Der europäische Markt ist stabil.|European|European|The European market is stable.
390|adv|sonst||Sonst passiert hier nicht viel.|otherwise|otherwise|Not much happens here otherwise.
391|der|der Staat|die Staaten|Der Staat investiert in Bildung.|state|state|The state invests in education.
392|verb|helfen|helfen, hilft, half, hat geholfen|Er hilft ihr bei den Hausaufgaben.|to help|to help|He helps her with the homework.
393|der|der Bereich|die Bereiche|Der Bereich ist für Kinder gesperrt.|area, region|area|The area is closed off for children.
394|adj|tatsächlich||Die tatsächliche Ursache erklärt alles.|real, actual|actual|The actual cause explains everything.
395|der|der Ort|die Orte|Der Ort war ideal für ein Picknick.|place, town, location|location|The location was ideal for a picnic.
396|adv|abends||Wir treffen uns abends im Park.|in the evening|in the evening|We meet in the park in the evening.
397|der|der Abend|die Abende|Der Abend war sehr entspannend.|evening|evening|The evening was very relaxing.
398|adj|einzig||Er ist der einzige, der es kann.|only, single|only|He is the only one who can do it.
