Der Hund ist groß.|The dog is big.
Sein Auftreten war höflich.|His behavior was polite.

Der Fehler tritt auf.|The error occurs.
Das ist insbesondere wichtig.|That is especially important.
Das Problem ist technischer Natur.|The problem is of a technical nature.
Wann kommst du?|When are you coming?
Was ist los?|What is going on?
Das Bett ist bequem.|The bed is comfortable.
Die Höhe ist beeindruckend.|The height is impressive.
Das ist wesentlich.|That is essential.
Das Buch ist auf Englisch.|The book is in English.
Er kam zuletzt an.|He arrived last.
Das Wasser ist rein.|The water is pure.
Das Zimmer ist groß.|The room is large.
Indem er liest, lernt er.|By reading, he learns.
Er baut ein Haus.|He is building a house.
Ihr Verhältnis ist gut.|Their relationship is good.
Das ist selten.|That is rare.
Die Zeitung ist interessant.|The newspaper is interesting.
Die innere Uhr tickt.|The internal clock is ticking.
Beispielsweise gibt es Unterschiede.|For example, there are differences.
Die Bedingungen sind hart.|The conditions are tough.
Das Fenster ist offen.|The window is open.
Der Zug ist pünktlich.|The train is on time.
Derzeit bin ich beschäftigt.|At the moment, I am busy.
Der Computer funktioniert.|The computer works.
Er ist sowohl Lehrer als auch Autor.|He is both a teacher and an author.
Ich schlafe gern.|I like to sleep.
Statt Kaffee trinke ich Tee.|Instead of coffee, I drink tea.
Das Werk ist bekannt.|The work is well-known.
Das Gras ist grün.|The grass is green.
Der Bürger ist aktiv.|The citizen is active.
Das Buch dient zum Lernen.|The book serves for learning.
Das Bild ist echt.|The picture is genuine.
Die Firma wächst.|The company is growing.
Die Wirtschaft ist stabil.|The economy is stable.
Der Schlüssel steckt im Schloss.|The key is in the lock.
Ich hoffe auf Erfolg.|I hope for success.
Ich habe das erfahren.|I found that out.
Das ist ein gutes Mittel.|That is a good means.
Die Folie ist dünn.|The foil is thin.
Er leistet gute Arbeit.|He performs good work.
Meine Tochter spielt.|My daughter is playing.
Der Lehrer erklärt.|The teacher explains.
Der Mantel passt.|The coat fits.
Ich beobachte die Vögel.|I observe the birds.
Die Einführung war hilfreich.|The introduction was helpful.
Ein Element ist klein.|An element is small.
Das klingt gut.|That sounds good.
Ich liebe dich.|I love you.
Die Dame wartet.|The lady is waiting.
Die Vorlesung beginnt.|The lecture begins.
Ich zähle bis zehn.|I count to ten.
Meist lese ich abends.|Mostly, I read in the evenings.
Der Raum ist dunkel.|The room is dark.
Österreich ist schön.|Austria is beautiful.
Das Modell ist neu.|The model is new.
Die Bewegung ist wichtig.|The movement is important.
Der Ball ist unten.|The ball is down.
Die Mitte des Raumes.|The middle of the room.
Ich gehe hin.|I go there.
Aufgrund des Wetters.|Because of the weather.
Ich bin beschäftigt.|I am busy.
Er war zuvor hier.|He was here before.
Sie arbeiten miteinander.|They work with each other.
Dennoch komme ich.|Nevertheless, I come.
Er wirft den Ball.|He throws the ball.
Das Angebot ist gut.|The offer is good.
Das Projekt läuft.|The project is running.
Er verkauft Obst.|He sells fruit.
Er reagiert schnell.|He reacts quickly.
Der Autor schreibt.|The author writes.
Ich kriege das Buch.|I get the book.
Das sind ca. 20 Euro.|That is approximately 20 euros.
Die EU ist groß.|The EU is large.
Die Größe ist wichtig.|The size is important.
Das Holz ist hart.|The wood is hard.
Das ist offenbar.|That is apparent.
Mein Bruder kommt.|My brother is coming.
Er beteiligt sich.|He participates.
Die Phase ist kritisch.|The phase is critical.
Er gibt den Preis an.|He states the price.
Die Reise war lang.|The trip was long.
Sie ist erfolgreich.|She is successful.
Der Zustand ist gut.|The condition is good.
Das ist wahr.|That is true.
Die Reihe ist lang.|The row is long.
Die Natur ist schön.|Nature is beautiful.
Ich rechne die Kosten.|I calculate the costs.
Es ist bloß ein Kratzer.|It is just a scratch.
Ich bin bloß müde.|I am simply tired.
Das ist notwendig.|That is necessary.
Er hat Amerika entdeckt.|He discovered America.
Der Film dauert zwei Stunden.|The movie lasts two hours.
Die wirtschaftliche Lage.|The economic situation.
Das ist privat.|That is private.
Das Haus ist modern.|The house is modern.
Ihr Haar ist lang.|Her hair is long.
Deswegen bleibe ich.|That’s why I am staying.
Ich spüre die Kälte.|I feel the cold.
Er ist unabhängig.|He is independent.
Morgen ist ein neuer Tag.|Tomorrow is a new day.
Der Rahmen ist aus Holz.|The frame is made of wood.
Übrigens, wie geht es dir?|By the way, how are you?
Die Einheit ist stark.|The unity is strong.
Er ist überall bekannt.|He is known everywhere.
Wir müssen das feststellen.|We need to determine that.
Der Stoff ist teuer.|The material is expensive.
Seine Rede war inspirierend.|His speech was inspiring.
Ich unterstütze dich.|I support you.
Die chemische Reaktion.|The chemical reaction.
Das ist schlimm.|That is bad.
Es wurde schlimmer.|It got worse.
Die Schweiz ist schön.|Switzerland is beautiful.
Irgendwann werde ich gehen.|Someday I will go.
Das Geschäft ist geschlossen.|The shop is closed.
Weder er noch sie kommt.|Neither he nor she is coming.
Der Anteil ist groß.|The share is large.
Die Angaben sind korrekt.|The information is correct.
Das Team arbeitet hart.|The team works hard.
Alle außer ihm kamen.|Everyone except him came.
Der Sommer ist heiß.|The summer is hot.
Das Hotel ist teuer.|The hotel is expensive.
Die Musik ist laut.|The music is loud.
Eins und eins ist zwei.|One and one is two.
Das Alter ist nur eine Zahl.|Age is just a number.
Die Sicherheit ist wichtig.|Security is important.
Die SPD hat gewonnen.|The SPD has won.
Der Preis ist niedrig.|The price is low.
Das ist ständig.|That is constant.
Der Einsatz ist hoch.|The effort is high.
Er liefert die Waren.|He delivers the goods.
Er betont die Wichtigkeit.|He stresses the importance.
Die Erde ist rund.|The Earth is round.
Die Studie zeigt Ergebnisse.|The study shows results.
Er steht vorne.|He stands at the front.
Das ist die rechte Hand.|That is the right hand.
Meine Meinung zählt.|My opinion counts.
Er dreht den Schlüssel.|He turns the key.
Der Künstler ist bekannt.|The artist is well-known.
Er ist aktiv.|He is active.
Der Versuch ist gelungen.|The attempt was successful.
Er ist somit ein Held.|Consequently, he is a hero.
Ich bezahle die Rechnung.|I pay the bill.
Seine Eigenschaft ist Mut.|His quality is courage.
Das ist längst bekannt.|That is known for a long time.
Die Methode ist neu.|The method is new.
Ordnung muss sein.|There must be order.
Russland ist groß.|Russia is large.
Die Wahl ist wichtig.|The election is important.
Daraus folgt ein Ergebnis.|An outcome follows from it.
Er erfüllt den Wunsch.|He fulfills the wish.
Mama, ich habe Hunger.|Mommy, I am hungry.
Die Region ist groß.|The region is large.
Sonntag ist Ruhetag.|Sunday is a rest day.
Das Internet ist schnell.|The internet is fast.
Meine Nummer ist eins.|My number is one.
Das Lächeln ist schön.|The smile is beautiful.
Sie lächelt immer.|She always smiles.
Er ist genauso stark.|He is just as strong.
Ich bin überzeugt.|I am convinced.
Das Buch ist interessant.|The book is interesting.
Er ist menschlich.|He is human.
Ein Elektron ist klein.|An electron is small.
Frankreich ist schön.|France is beautiful.
Freiheit ist wichtig.|Freedom is important.
Das ist speziell für dich.|That is special for you.
Ich spreche Französisch.|I speak French.

Das ist negativ.|That is negative.
Das ist zentral.|That is central.
Die Ebene ist flach.|The plane is flat.
Ich besuche meine Freunde.|I visit my friends.
Gestern war es kalt.|Yesterday it was cold.
Der Spieler ist verletzt.|The player is injured.
Das ist absolut sicher.|That is absolutely certain.
Der Vogel fliegt hoch.|The bird flies high.
Der Hund ist freundlich.|The dog is friendly.
Er antwortet schnell.|He answers quickly.
Ich arbeite weiterhin.|I continue to work.
Die Wand ist weiß.|The wall is white.
Das Auto steht rechts.|The car is on the right.
Das ist konkret.|That is concrete.
Das ist russisch.|That is Russian.
Ich spreche Russisch.|I speak Russian.
Er zahlt die Rechnung.|He pays the bill.
Sie spricht zugleich.|She speaks at the same time.
Das Feld ist groß.|The field is large.
Er verdient viel Geld.|He earns a lot of money.
Der Film ist amerikanisch.|The movie is American.
Die Sekunde zählt.|The second counts.
Der Brief ist lang.|The letter is long.
Das Mitglied ist aktiv.|The member is active.
Das ist praktisch.|That is practical.
Die Gefahr ist groß.|The danger is great.
Er bindet das Seil.|He ties the rope.
Das Problem ist weltweit.|The problem is worldwide.
Die Liebe ist stark.|The love is strong.
Der Beginn war schwierig.|The beginning was difficult.
China ist groß.|China is large.
Die Straße ist breit.|The street is wide.
Die Kinder spielen draußen.|The children play outside.
Die Wirkung ist stark.|The effect is strong.
Die Bildung ist wichtig.|Education is important.
Das Blut ist rot.|The blood is red.
Das Meer ist blau.|The sea is blue.
Die Anzahl ist hoch.|The number is high.
Die Veränderung ist groß.|The change is significant.
Das ist durchaus möglich.|That is quite possible.
Der Mund ist offen.|The mouth is open.
Ich berechne den Preis.|I calculate the price.
Die Kosten betragen viel.|The costs amount to a lot.
Das ist fremd.|That is strange.
Die Untersuchung dauert lang.|The examination takes long.
Der Fehler war klein.|The mistake was small.
Mittlerweile habe ich gelernt.|In the meantime, I have learned.
Er baut das Haus auf.|He builds up the house.
Die Sonne scheint.|The sun is shining.
Das Prinzip ist einfach.|The principle is simple.
Er kam vorher.|He came earlier.
Der Kampf ist hart.|The fight is hard.
Die Verfügung ist klar.|The disposal is clear.
Wir feiern den Erfolg.|We celebrate the success.
Das Programm läuft gut.|The program runs well.
Die linke Hand.|The left hand.
Der Einfluss ist stark.|The influence is strong.
Die Temperatur ist hoch.|The temperature is high.
Das Glas ist leer.|The glass is empty.
Er teilt die Nachricht mit.|He informs about the news.
Das Verfahren ist kompliziert.|The process is complicated.
Danke für alles.|Thanks for everything.
Ich beziehe mich darauf.|I refer to it.
Er verlangt eine Erklärung.|He demands an explanation.
Zuerst essen wir.|First we eat.
Die Analyse ist korrekt.|The analysis is correct.
Das Buch ist klassisch.|The book is classical.
Mein ehemaliger Lehrer.|My former teacher.
Mein Bein tut weh.|My leg hurts.
Das Glas ist zerbrochen.|The glass is broken.
Der Arzt untersucht mich.|The doctor examines me.
Das Wasser ist kalt.|The water is cold.
Ich habe Sorgen.|I have worries.
Der Himmel ist blau.|The sky is blue.
Die künftige Entwicklung.|The future development.
Das ist national.|That is national.
Die Kirche ist alt.|The church is old.
Die Katze ist links.|The cat is on the left.
Die CDU hat gewonnen.|The CDU has won.
Das war bislang unbekannt.|That was unknown until now.
Der Arzt misst den Blutdruck.|The doctor measures the blood pressure.
Das ist lieb von dir.|That is kind of you.
Ich will unbedingt gehen.|I absolutely want to go.
Der Verein ist groß.|The club is large.
Ein Atom ist klein.|An atom is small.
Das Ereignis ist historisch.|The event is historical.
Das Schiff sinkt.|The ship is sinking.
Das Buch kostet zehn Euro.|The book costs ten euros.
Die Vorstellung war gut.|The performance was good.
Das war entscheidend.|That was decisive.
Wir teilen das Essen.|We share the food.
Das ist der Typ.|That is the type.
Das Buch stammt aus Deutschland.|The book comes from Germany.
Das ist wissenschaftlich belegt.|That is scientifically proven.
Wieso fragst du?|Why are you asking?
Ein wichtiger Faktor.|An important factor.
Die Bindung ist stark.|The relationship is strong.
Die Literatur ist umfangreich.|The literature is extensive.
Das überrascht mich.|That surprises me.
Die Ergebnisse bestätigen die Theorie.|The results confirm the theory.
Ich bin mir dessen bewusst.|I am aware of that.
Der Abschnitt ist wichtig.|The section is important.
Die Nähe zum Park.|The proximity to the park.
Zahlreiche Gäste kamen.|Numerous guests came.
Das ist medizinisch notwendig.|That is medically necessary.
Es ist nichts übrig.|There is nothing left.
Die Türkei ist schön.|Turkey is beautiful.
Die Produktion läuft gut.|The production is going well.
Er drückt den Knopf.|He presses the button.
Der Krieg droht.|The war threatens.
Die Linie ist gerade.|The line is straight.
Das Gas ist gefährlich.|The gas is dangerous.
Er schickt eine Nachricht.|He sends a message.
Die Hälfte ist weg.|Half of it is gone.
Der Kontakt ist wichtig.|The contact is important.
Das Interview war interessant.|The interview was interesting.
Es ist mir egal.|It's all the same to me.
Wir reisen nach Frankreich.|We travel to France.
Der Berg ist hoch.|The mountain is high.
Er ist irgendwo.|He is somewhere.
Sie trennen sich.|They separate.
Er benötigt Hilfe.|He requires help.
Die Erinnerung ist schön.|The memory is beautiful.
Das Wetter verhindert den Ausflug.|The weather prevents the trip.
Die Sicht ist klar.|The visibility is clear.
Ein Dollar ist wenig.|One dollar is little.
Er leidet oft.|He often suffers.
Er hat einen Anspruch.|He has a claim.
Die Position ist gut.|The position is good.
Sport macht Spaß.|Sports are fun.
Das BGB ist wichtig.|The civil code is important.
Die Nachfrage steigt.|The demand is increasing.
Der Himmel ist blau.|The sky is blue.
Er schaut den Film an.|He watches the movie.
Das Auto ist teuer.|The car is expensive.
Die Medien berichten.|The media report.
Er richtet die Kamera.|He directs the camera.
Das Institut ist bekannt.|The institute is well-known.
Der Plan ist gut.|The plan is good.
Immerhin hat er es versucht.|After all, he tried.
Das Tor ist offen.|The gate is open.
Der Betrieb läuft gut.|The business is running well.
Das Problem ist komplex.|The problem is complex.
Das Dorf ist klein.|The village is small.
Das Buch eignet sich.|The book is suitable.
Die Klasse beginnt.|The class begins.
Er geht auf die Frage ein.|He addresses the question.
Erlauben Sie das?|Do you allow that?
Sie treibt Sport.|She pursues sports.
Mein Schlüssel ist weg.|My key is gone.
Ich stehe früh auf.|I get up early.
Der Absatz ist lang.|The paragraph is long.
Er ist unterwegs.|He is on the way.
Der Vertrag ist unterschrieben.|The contract is signed.
Der Ausdruck ist korrekt.|The expression is correct.
Er geriet in Panik.|He got into a panic.
Das Wetter ist toll.|The weather is great.
Das Schweigen war lang.|The silence was long.
Sie schweigt.|She remains silent.
Meine Schwester ist jünger.|My sister is younger.
Der Chef ist streng.|The boss is strict.
Er greift nach dem Buch.|He reaches for the book.
Das Risiko ist hoch.|The risk is high.

Die Tabelle ist fertig.|The table is ready.
Das ermöglicht uns viel.|That allows us a lot.
